Sl.No,Crime Heads,2016,2017,2018,2019,2020,2021,2022 (Up to Aug)
1,Murder,305,305,292,323,306,337,190
2,Attempt to commit murder,622,583,672,729,610,606,396
3,CH not amounting to murder,132,112,90,93,84,55,52
4,Rape,1656,2003,2005,2023,1880,2318,1383
5,Kidnapping & abduction,241,293,297,386,307,358,237
6,Dacoity,71,63,71,87,69,63,34
7,Robbery,908,807,867,741,610,793,467
8,Burglary,2579,2380,2389,2293,1619,1982,1278
9,Theft,3936,3844,3651,3401,2418,3086,2177
10,Riots,5089,4689,4236,3514,3520,2142,1456
11,Criminal breach of trust,274,220,289,204,120,177,87
12,Cheating,4623,3930,4643,6347,8993,4842,3713
13,Counterfeiting,43,25,43,33,23,25,14
14,Arson,554,405,341,389,317,245,145
15,Hurt,17388,20323,20087,18910,16238,14004,9325
16,Dowry Deaths(304(B) IPC),25,12,17,8,6,10,6
17,Molestation,4029,4413,4544,4507,3890,4269,3029
18,Sexual harassment,328,421,461,435,442,498,339
19,Cruelty by husband or relatives,3455,2856,2046,2970,2707,5016,3059
20,Other IPC Crimes,213839,188162,139917,128417,104940,104669,108997
21,Arms Act,215,215,173,227,167,128,81
22,NDPS Act,5924,9244,8724,9245,4968,5680,13317
23,Gambling ACT,3556,3112,2512,2076,1840,1577,1260
24,Abkari ACT,65046,58994,38697,29252,9569,12109,20251
25,Explosive and Explosive Substance Act,782,458,319,395,239,247,149
26,Immoral Traffic(P) Act,121,52,13,15,9,13,10
27,Railways Act,11,3,2,2,3,3,3
28,Registration of foreigners Act,7,31,28,26,13,10,2
29,Protection of Civil Rights Act,0,1,0,0,0,0,0
30,Indian Passport Act,94,74,48,54,27,46,14
31,Essential Commodities Act,123,119,48,40,45,48,34
32,Antiquity and art treasure Act,0,1,0,0,0,0,0
33,Dowry Prohibition Act,3,9,3,3,3,29,21
34,Prohibition of Child Marriage Act,8,15,18,7,8,13,3
35,Indecent rep. of women Act,2,4,1,7,3,2,0
36,SC/ST (POA) Act,99,165,116,94,81,97,42
37,Forest Act,15,12,15,7,6,2,1
38,Other SLL Crimes,371767,345145,274492,235823,388644,360023,84795
39,Total Murder (Infanticide and Other),33,28,28,25,29,36,14
40,Section 4 & 6 of PoCSO Act with Sec. 376 IPC,957,1069,1137,1262,1243,1527,946
41,Kidnapping and Abduction,157,184,205,280,200,244,166
42,Foeticide,0,0,1,0,0,0,0
43,Abetment of Suicide,3,4,6,0,3,3,0
44,Exposure and Abandonment,5,5,11,19,13,7,6
45,Procuration of Minor Girls,3,11,23,20,5,0,0
46,Buying Girls for Prostitution,0,0,0,0,0,0,0
47,Selling Girls for Prostitution,0,0,0,0,0,0,0
48,Prohibition of Child marriage? Act,8,15,18,7,8,13,3
49,Other Crimes against Children,1713,2246,2824,3141,2440,2519,1900
50,Rape,1656,2003,2005,2023,1880,2318,1383
51,Molestation,4029,4413,4544,4507,3890,4269,3029
52,Kidnapping & Abduction,166,184,173,227,151,195,129
53,Eve teasing,328,421,461,435,442,498,339
54,Dowry death (304(B) IPC),25,12,17,8,6,10,6
55,Cruelty by husband / relatives,3455,2856,2046,2970,2707,5016,3059
56,Other offences,5455,4374,4397,4123,3583,4112,2987
57,SC,810,916,887,858,846,1015,636
58,ST,182,144,138,140,130,146,89
59,Cyber Cases,283,320,340,307,426,955,440
60,Missing Cases,7435,9202,11536,12802,8742,9713,6544
61,No. of accidents,39420,38470,40181,41111,27877,33296,25498
62,Death in accidents,4287,4131,4303,4440,2979,3429,2537
63,Total Injuries in accidents,44108,42671,45458,46055,30510,40204,28554
64,POSCO Acts,2131,2704,3181,3640,3056,3559,2570
65,Cigarettes and Other Tobacco -Section 4,231801,162443,110039,87646,46770,86499,45433
66,Cigarettes and Other Tobacco-Section 5,37,23,36,3,0,1,0
67,Cigarettes and Other Tobacco-Section 6(a),633,714,657,491,292,453,747
68,Cigarettes and Other Tobacco-Section 6(b),3505,3786,3521,2782,903,1362,1240
69,Cigarettes and Other Tobacco-Section 7,315,312,102,50,30,45,123
