CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Aug 2022
DACOITY,48,47,28,30,27,14,34,24,36,32,33,28,33,82,75,46,36,25,15,9,26,17
MURDER,547,531,485,481,455,476,495,554,552,565,543,521,517,586,570,528,487,513,521,472,459,512
ATT. TO MURDER,510,440,407,519,467,510,530,389,369,311,386,439,585,770,770,646,645,529,487,570,761,833
ROBBERY,624,502,441,461,510,541,557,541,515,599,562,608,1245,6464,7407,4761,3147,2444,1956,1963,2333,2331
RIOT,165,139,80,67,61,87,87,71,57,53,50,79,113,160,130,79,50,23,23,689,68,91
KID. FOR RANSOM,41,32,29,28,32,32,24,24,29,18,25,21,30,38,36,23,16,19,15,11,17,13
RAPE,381,403,490,551,658,623,598,466,469,507,572,706,1636,2166,2199,2155,2146,2135,2168,1699,2076,2133
SNATCHING,675,605,532,775,1136,1283,1243,1377,1345,1671,1476,1440,3638,7350,9896,9571,8231,6932,6266,7965,9383,9492
HURT,2011,1851,1708,1780,1814,1818,1736,1936,1938,1925,1946,1747,1768,2077,1898,1489,1352,1508,1312,1064,1360,1493
BURGLARY,3029,2360,1898,1875,2093,1950,2055,1926,1733,1502,1419,1715,2835,10309,12848,14307,9819,4117,3026,2199,2637,4255
M.V.THEFT,7894,7434,7445,8873,8862,9366,8874,11020,13224,14966,14668,14391,14916,23384,32729,38644,40972,46433,46215,35019,37910,38362
HOUSE THEFT,1776,1418,1554,1549,1453,1408,1599,1539,1948,1868,1918,1746,3216,12735,15318,14721,10739,3727,2630,2036,2485,8719
OTHER THEFT,9606,7773,6545,8572,7640,6724,6564,6308,6559,6254,6313,5895,11992,42634,56385,77563,114054,138596,190874,132419,150203,145959
M. O. WOMEN,502,446,489,601,762,718,868,611,552,601,657,727,3515,4322,5367,4165,3422,3314,2921,2186,2551,2724
OTHER KID./ABD,1627,1323,1156,1207,1590,1441,1688,1567,2536,3208,3767,3949,6294,7105,7694,6596,6079,6032,5886,4051,5510,5959
FATAL ACCIDENT,1889,1641,1846,1912,1939,2130,2079,2015,2272,2104,2047,1822,1778,1629,1582,1548,1565,1657,1433,1163,1206,1273
SIMPLE ACCIDENT,7455,7071,7025,7195,7641,7569,8449,6589,5342,5116,5233,5115,5788,6994,6503,5827,5108,4858,4177,3015,3514,3983
