District,2016,2017,2018,2019,2020,2021,2022 (Up to Aug)
Alappuzha,82,131,178,190,180,200,131
Ernakulam City,62,94,114,118,97,109,102
Ernakulam Rural,162,157,154,225,164,215,132
Idukki,104,161,135,155,188,206,136
Kannur,143,143,245,222,159,189,118
Kasargod,103,135,135,163,148,127,135
Kollam City,89,114,128,122,107,127,111
Kollam Rural,88,147,134,167,145,200,115
Kottayam,122,145,157,195,132,168,116
Kozhikode City,68,104,113,142,110,108,90
Kozhikode Rural,99,172,163,192,145,178,146
Malapuram,244,220,410,448,387,460,302
Palakkad,124,197,200,258,254,256,175
Pathanamthitta,93,103,113,116,106,135,110
RAILWAY POLICE,1,7,4,5,1,1,3
Thiruvananthapuram City,73,81,112,151,114,117,103
Thiruvananthapuram Rural,188,280,273,315,244,319,237
Thrissur City,99,101,149,152,117,138,103
Thrissur Rural,92,84,133,157,120,157,103
Wayanad,95,128,131,147,138,149,102
